Ano,Estado,Mês,Número,Periodo
1998,Acre,Janeiro,0,011998
1999,Acre,Janeiro,0,011999
2000,Acre,Janeiro,0,012000
2001,Acre,Janeiro,0,012001
2002,Acre,Janeiro,0,012002
2003,Acre,Janeiro,10,012003
2004,Acre,Janeiro,0,012004
2005,Acre,Janeiro,12,012005
2006,Acre,Janeiro,4,012006
2007,Acre,Janeiro,0,012007
2008,Acre,Janeiro,0,012008
2009,Acre,Janeiro,0,012009
2010,Acre,Janeiro,1,012010
2011,Acre,Janeiro,0,012011
2012,Acre,Janeiro,0,012012
2013,Acre,Janeiro,0,012013
2014,Acre,Janeiro,0,012014
2015,Acre,Janeiro,1,012015
2016,Acre,Janeiro,12,012016
2017,Acre,Janeiro,0,012017
1998,Acre,Fevereiro,0,021998
1999,Acre,Fevereiro,0,021999
2000,Acre,Fevereiro,0,022000
2001,Acre,Fevereiro,0,022001
2002,Acre,Fevereiro,1,022002
2003,Acre,Fevereiro,0,022003
2004,Acre,Fevereiro,3,022004
2005,Acre,Fevereiro,0,022005
2006,Acre,Fevereiro,0,022006
2007,Acre,Fevereiro,5,022007
2008,Acre,Fevereiro,0,022008
2009,Acre,Fevereiro,2,022009
2010,Acre,Fevereiro,0,022010
2011,Acre,Fevereiro,0,022011
2012,Acre,Fevereiro,0,022012
2013,Acre,Fevereiro,0,022013
2014,Acre,Fevereiro,0,022014
2015,Acre,Fevereiro,2,022015
2016,Acre,Fevereiro,5,022016
2017,Acre,Fevereiro,1,022017
1998,Acre,Março,0,031998
1999,Acre,Março,0,031999
2000,Acre,Março,11,032000
2001,Acre,Março,0,032001
2002,Acre,Março,0,032002
2003,Acre,Março,0,032003
2004,Acre,Março,0,032004
2005,Acre,Março,3,032005
2006,Acre,Março,0,032006
2007,Acre,Março,2,032007
2008,Acre,Março,0,032008
2009,Acre,Março,1,032009
2010,Acre,Março,0,032010
2011,Acre,Março,0,032011
2012,Acre,Março,1,032012
2013,Acre,Março,2,032013
2014,Acre,Março,1,032014
2015,Acre,Março,2,032015
2016,Acre,Março,0,032016
2017,Acre,Março,0,032017
1998,Acre,Abril,0,041998
1999,Acre,Abril,0,041999
2000,Acre,Abril,1,042000
2001,Acre,Abril,0,042001
2002,Acre,Abril,0,042002
2003,Acre,Abril,1,042003
2004,Acre,Abril,2,042004
2005,Acre,Abril,1,042005
2006,Acre,Abril,0,042006
2007,Acre,Abril,0,042007
2008,Acre,Abril,0,042008
2009,Acre,Abril,0,042009
2010,Acre,Abril,3,042010
2011,Acre,Abril,2,042011
2012,Acre,Abril,1,042012
2013,Acre,Abril,19,042013
2014,Acre,Abril,7,042014
2015,Acre,Abril,3,042015
2016,Acre,Abril,0,042016
2017,Acre,Abril,1,042017
1998,Acre,Maio,0,051998
1999,Acre,Maio,0,051999
2000,Acre,Maio,1,052000
2001,Acre,Maio,0,052001
2002,Acre,Maio,0,052002
2003,Acre,Maio,6,052003
2004,Acre,Maio,7,052004
2005,Acre,Maio,2,052005
2006,Acre,Maio,8,052006
2007,Acre,Maio,1,052007
2008,Acre,Maio,0,052008
2009,Acre,Maio,3,052009
2010,Acre,Maio,9,052010
2011,Acre,Maio,3,052011
2012,Acre,Maio,3,052012
2013,Acre,Maio,4,052013
2014,Acre,Maio,1,052014
2015,Acre,Maio,2,052015
2016,Acre,Maio,21,052016
2017,Acre,Maio,10,052017
1998,Acre,Junho,3,061998
1999,Acre,Junho,0,061999
2000,Acre,Junho,1,062000
2001,Acre,Junho,1,062001
2002,Acre,Junho,0,062002
2003,Acre,Junho,0,062003
2004,Acre,Junho,5,062004
2005,Acre,Junho,27,062005
2006,Acre,Junho,1,062006
2007,Acre,Junho,4,062007
2008,Acre,Junho,0,062008
2009,Acre,Junho,0,062009
2010,Acre,Junho,1,062010
2011,Acre,Junho,10,062011
2012,Acre,Junho,7,062012
2013,Acre,Junho,8,062013
2014,Acre,Junho,17,062014
2015,Acre,Junho,40,062015
2016,Acre,Junho,87,062016
2017,Acre,Junho,45,062017
1998,Acre,Julho,37,071998
1999,Acre,Julho,1,071999
2000,Acre,Julho,1,072000
2001,Acre,Julho,3,072001
2002,Acre,Julho,39,072002
2003,Acre,Julho,168,072003
2004,Acre,Julho,42,072004
2005,Acre,Julho,368,072005
2006,Acre,Julho,33,072006
2007,Acre,Julho,29,072007
2008,Acre,Julho,41,072008
2009,Acre,Julho,31,072009
2010,Acre,Julho,126,072010
2011,Acre,Julho,93,072011
2012,Acre,Julho,71,072012
2013,Acre,Julho,54,072013
2014,Acre,Julho,60,072014
2015,Acre,Julho,109,072015
2016,Acre,Julho,533,072016
2017,Acre,Julho,457,072017
1998,Acre,Agosto,130,081998
1999,Acre,Agosto,63,081999
2000,Acre,Agosto,136,082000
2001,Acre,Agosto,396,082001
2002,Acre,Agosto,728,082002
2003,Acre,Agosto,1976,082003
2004,Acre,Agosto,645,082004
2005,Acre,Agosto,4198,082005
2006,Acre,Agosto,839,082006
2007,Acre,Agosto,960,082007
2008,Acre,Agosto,445,082008
2009,Acre,Agosto,194,082009
2010,Acre,Agosto,1682,082010
2011,Acre,Agosto,425,082011
2012,Acre,Agosto,739,082012
2013,Acre,Agosto,679,082013
2014,Acre,Agosto,1100,082014
2015,Acre,Agosto,1397,082015
2016,Acre,Agosto,2188,082016
2017,Acre,Agosto,1493,082017
1998,Acre,Setembro,509,091998
1999,Acre,Setembro,209,091999
2000,Acre,Setembro,265,092000
2001,Acre,Setembro,290,092001
2002,Acre,Setembro,1949,092002
2003,Acre,Setembro,3942,092003
2004,Acre,Setembro,1978,092004
2005,Acre,Setembro,4253,092005
2006,Acre,Setembro,2370,092006
2007,Acre,Setembro,2080,092007
2008,Acre,Setembro,1666,092008
2009,Acre,Setembro,1265,092009
2010,Acre,Setembro,2531,092010
2011,Acre,Setembro,1204,092011
2012,Acre,Setembro,1996,092012
2013,Acre,Setembro,2136,092013
2014,Acre,Setembro,2175,092014
2015,Acre,Setembro,2928,092015
2016,Acre,Setembro,3586,092016
2017,Acre,Setembro,3429,092017
1998,Acre,Outubro,44,101998
1999,Acre,Outubro,60,101999
2000,Acre,Outubro,18,102000
2001,Acre,Outubro,137,102001
2002,Acre,Outubro,687,102002
2003,Acre,Outubro,740,102003
2004,Acre,Outubro,461,102004
2005,Acre,Outubro,547,102005
2006,Acre,Outubro,316,102006
2007,Acre,Outubro,203,102007
2008,Acre,Outubro,652,102008
2009,Acre,Outubro,565,102009
2010,Acre,Outubro,292,102010
2011,Acre,Outubro,97,102011
2012,Acre,Outubro,348,102012
2013,Acre,Outubro,258,102013
2014,Acre,Outubro,406,102014
2015,Acre,Outubro,905,102015
2016,Acre,Outubro,509,102016
2017,Acre,Outubro,1508,102017
1998,Acre,Novembro,0,111998
1999,Acre,Novembro,0,111999
2000,Acre,Novembro,0,112000
2001,Acre,Novembro,1,112001
2002,Acre,Novembro,86,112002
2003,Acre,Novembro,15,112003
2004,Acre,Novembro,10,112004
2005,Acre,Novembro,14,112005
2006,Acre,Novembro,18,112006
2007,Acre,Novembro,7,112007
2008,Acre,Novembro,4,112008
2009,Acre,Novembro,33,112009
2010,Acre,Novembro,39,112010
2011,Acre,Novembro,74,112011
2012,Acre,Novembro,13,112012
2013,Acre,Novembro,79,112013
2014,Acre,Novembro,56,112014
2015,Acre,Novembro,115,112015
2016,Acre,Novembro,46,112016
2017,Acre,Novembro,98,112017
1998,Acre,Dezembro,7,121998
1999,Acre,Dezembro,0,121999
2000,Acre,Dezembro,0,122000
2001,Acre,Dezembro,0,122001
2002,Acre,Dezembro,1,122002
2003,Acre,Dezembro,1,122003
2004,Acre,Dezembro,7,122004
2005,Acre,Dezembro,2,122005
2006,Acre,Dezembro,0,122006
2007,Acre,Dezembro,0,122007
2008,Acre,Dezembro,0,122008
2009,Acre,Dezembro,1,122009
2010,Acre,Dezembro,0,122010
2011,Acre,Dezembro,4,122011
2012,Acre,Dezembro,1,122012
2013,Acre,Dezembro,3,122013
2014,Acre,Dezembro,6,122014
2015,Acre,Dezembro,8,122015
2016,Acre,Dezembro,6,122016
1998,Alagoas,Janeiro,0,011998
1999,Alagoas,Janeiro,58,011999
2000,Alagoas,Janeiro,11,012000
2001,Alagoas,Janeiro,5,012001
2002,Alagoas,Janeiro,12,012002
2003,Alagoas,Janeiro,150,012003
2004,Alagoas,Janeiro,9,012004
2005,Alagoas,Janeiro,83,012005
2006,Alagoas,Janeiro,29,012006
2007,Alagoas,Janeiro,33,012007
2008,Alagoas,Janeiro,55,012008
2009,Alagoas,Janeiro,104,012009
2010,Alagoas,Janeiro,23,012010
2011,Alagoas,Janeiro,41,012011
2012,Alagoas,Janeiro,36,012012
2013,Alagoas,Janeiro,49,012013
2014,Alagoas,Janeiro,54,012014
2015,Alagoas,Janeiro,81,012015
2016,Alagoas,Janeiro,24,012016
2017,Alagoas,Janeiro,38,012017
2017,Alagoas,Janeiro,38,012017
1998,Alagoas,Fevereiro,0,021998
1999,Alagoas,Fevereiro,20,021999
2000,Alagoas,Fevereiro,16,022000
2001,Alagoas,Fevereiro,4,022001
2002,Alagoas,Fevereiro,15,022002
2003,Alagoas,Fevereiro,33,022003
2004,Alagoas,Fevereiro,7,022004
2005,Alagoas,Fevereiro,31,022005
2006,Alagoas,Fevereiro,14,022006
2007,Alagoas,Fevereiro,28,022007
2008,Alagoas,Fevereiro,74,022008
2009,Alagoas,Fevereiro,32,022009
2010,Alagoas,Fevereiro,26,022010
2011,Alagoas,Fevereiro,33,022011
2012,Alagoas,Fevereiro,41,022012
2013,Alagoas,Fevereiro,19,022013
2014,Alagoas,Fevereiro,29,022014
2015,Alagoas,Fevereiro,46,022015
2016,Alagoas,Fevereiro,14,022016
2017,Alagoas,Fevereiro,21,022017
